47053;572903;0,2,3,5,7,9
12667;136027;0,1,2,3,6,7
11686;124429;1,2,4,9
43480;525467;2,4,5,6,7
46002;559099;0,5,9
22816;259717;1,2,5,7,9
23211;264787;2,4,6,7,8
34501;408623;0,2,3,4,6,8
41163;495161;1,4,5,6,9
24775;284233;2,3,4,8
6936;70001;0,1,7
3144;28871;1,2,7,8
35747;424597;2,4,5,7,9
7040;71089;0,1,7,8,9
42070;507029;0,2,5,7,9
45858;557041;0,1,4,5,7
29465;343559;3,4,5,9
5781;56993;3,5,6,9
18601;207569;0,2,5,6,7,9
42813;516877;1,5,6,7,8
20777;234331;1,2,3,4
138;787;7,8
32789;386329;2,3,6,8,9
10184;106859;0,1,5,6,8,9
10020;104953;0,1,3,4,5,9
13661;147787;1,4,7,8
11430;121447;1,2,4,7
27157;314467;1,3,4,6,7
45753;555743;3,4,5,7
36646;435973;3,4,5,7,9
13561;146639;1,3,4,6,9
49799;609233;0,2,3,6,9
38940;466321;1,2,3,4,6
32905;387967;3,6,7,8,9
47665;581069;0,1,5,6,8,9
15406;168913;1,3,6,8,9
43642;527489;2,4,5,7,8,9
20228;227561;1,2,5,6,7
15734;172741;1,2,4,7
2486;22159;1,2,5,9
29115;339023;0,2,3,9
34109;403391;0,1,3,4,9
41512;499663;3,4,6,9
43008;519307;0,1,3,5,7,9
35889;426563;2,3,4,5,6
14056;152393;1,2,3,5,9
12213;130589;0,1,3,5,8,9
31627;371387;1,3,7,8
37877;452027;0,2,4,5,7
13922;150889;0,1,5,8,9
17423;193073;0,1,3,7,9
20988;237071;0,1,2,3,7
1782;15269;1,2,5,6,9
18780;209701;0,1,2,7,9
33835;399677;3,6,7,9
34680;410833;0,1,3,4,8
16640;183691;1,3,6,8,9
32305;380117;0,1,3,7,8
21044;237859;2,3,5,7,8,9
23396;267017;0,1,2,6,7
7224;73043;0,3,4,7
28856;335743;3,4,5,7
49488;605117;0,1,5,6,7
27757;321833;1,2,3,8
15633;171629;1,2,6,7,9
32982;388963;3,6,8,9
28139;326659;2,3,5,6,9
45286;549533;3,4,5,9
29439;343253;2,3,4,5
6541;65519;1,5,6,9
4557;43759;3,4,5,7,9
18380;204979;0,2,4,7,9
302;1997;1,7,9
17361;192377;1,2,3,7,9
42830;517079;0,1,5,7,9
48136;587131;1,3,5,7,8
3803;35801;0,1,3,5,8
27000;312583;1,2,3,5,8
22648;257657;2,5,6,7
8165;83653;3,5,6,8
44381;537287;2,3,5,7,8
24446;280183;0,1,2,3,8
32078;377137;1,3,7
46490;565517;1,5,6,7
15612;171341;1,3,4,7
38193;456439;3,4,5,6,9
2246;19853;1,3,5,8,9
34220;404977;0,4,7,9
28473;330839;0,3,8,9
15912;174931;1,3,4,7,9
29559;344759;3,4,5,7,9
18680;208499;0,2,4,8,9
32793;386369;3,6,8,9
23500;268171;1,2,6,7,8
37510;447331;1,3,4,7
7632;77659;5,6,7,9
378;2593;2,3,5,9
14978;163567;1,3,5,6,7
46156;560941;0,1,4,5,6,9
16336;179951;1,5,7,9
25904;298757;2,5,7,8,9
17821;197971;1,7,9
4024;38113;1,3,8
34690;411011;0,1,4
30006;350437;0,3,4,5,7
12281;131449;1,3,4,9
31079;364223;2,3,4,6
19982;224513;1,2,3,4,5
16512;182177;1,2,7,8
10313;108421;0,1,2,4,8
15023;164089;0,1,4,6,8,9
22084;250681;0,1,2,5,6,8
46830;570083;0,3,5,7,8
