1;00000000000000000000000000000002;2
2;00000000000000000000000000000003;3
3;00000000000000000000000000000011;1
4;00000000000000000000000000000013;1,3
5;00000000000000000000000000000023;2,3
6;00000000000000000000000000000031;1,3
7;00000000000000000000000000000101;0,1
8;00000000000000000000000000000103;0,1,3
9;00000000000000000000000000000113;1,3
10;00000000000000000000000000000131;1,3
11;00000000000000000000000000000133;1,3
12;00000000000000000000000000000211;1,2
13;00000000000000000000000000000221;1,2
14;00000000000000000000000000000223;2,3
15;00000000000000000000000000000233;2,3
16;00000000000000000000000000000311;1,3
17;00000000000000000000000000000323;2,3
18;00000000000000000000000000000331;1,3
19;00000000000000000000000000001003;0,1,3
20;00000000000000000000000000001013;0,1,3
21;00000000000000000000000000001021;0,1,2
22;00000000000000000000000000001033;0,1,3
23;00000000000000000000000000001103;0,1,3
24;00000000000000000000000000001121;1,2
25;00000000000000000000000000001201;0,1,2
26;00000000000000000000000000001211;1,2
27;00000000000000000000000000001213;1,2,3
28;00000000000000000000000000001223;1,2,3
29;00000000000000000000000000001231;1,2,3
30;00000000000000000000000000001301;0,1,3
31;00000000000000000000000000001333;1,3
32;00000000000000000000000000002003;0,2,3
33;00000000000000000000000000002021;0,1,2
34;00000000000000000000000000002023;0,2,3
35;00000000000000000000000000002111;1,2
36;00000000000000000000000000002113;1,2,3
37;00000000000000000000000000002131;1,2,3
38;00000000000000000000000000002203;0,2,3
39;00000000000000000000000000002213;1,2,3
40;00000000000000000000000000002231;1,2,3
41;00000000000000000000000000002303;0,2,3
42;00000000000000000000000000002311;1,2,3
43;00000000000000000000000000002333;2,3
44;00000000000000000000000000003001;0,1,3
45;00000000000000000000000000003011;0,1,3
46;00000000000000000000000000003013;0,1,3
47;00000000000000000000000000003103;0,1,3
48;00000000000000000000000000003133;1,3
49;00000000000000000000000000003203;0,2,3
50;00000000000000000000000000003211;1,2,3
51;00000000000000000000000000003221;1,2,3
52;00000000000000000000000000003233;2,3
53;00000000000000000000000000003301;0,1,3
54;00000000000000000000000000003323;2,3
55;00000000000000000000000000010001;0,1
56;00000000000000000000000000010013;0,1,3
57;00000000000000000000000000010031;0,1,3
58;00000000000000000000000000010033;0,1,3
59;00000000000000000000000000010111;0,1
60;00000000000000000000000000010121;0,1,2
61;00000000000000000000000000010123;0,1,2,3
62;00000000000000000000000000010211;0,1,2
63;00000000000000000000000000010303;0,1,3
64;00000000000000000000000000010313;0,1,3
65;00000000000000000000000000010321;0,1,2,3
66;00000000000000000000000000010331;0,1,3
67;00000000000000000000000000011023;0,1,2,3
68;00000000000000000000000000011101;0,1
69;00000000000000000000000000011123;1,2,3
70;00000000000000000000000000011131;1,3
71;00000000000000000000000000011201;0,1,2
72;00000000000000000000000000011213;1,2,3
73;00000000000000000000000000011233;1,2,3
74;00000000000000000000000000011311;1,3
75;00000000000000000000000000011323;1,2,3
